		Table 1. Sin(x)
	 x	|	 f(x)
    ---------------------------------
	0	|	0
	0.1309	|	0.13052619
	0.2618	|	0.25881905
	0.3927	|	0.38268343
	0.5236	|	0.5
	0.6545	|	0.60876143
	0.7854	|	0.70710678
	0.9163	|	0.79335334
	1.047	|	0.8660254
	1.178	|	0.92387953
	1.309	|	0.96592583
	1.44	|	0.99144486
	1.571	|	1

		Table 2. x^2+2x-3
	 x	|	 f(x)
    ---------------------------------
	-4	|	5
	-3.75	|	3.5625
	-3.5	|	2.25
	-3.25	|	1.0625
	-3	|	0
	-2.75	|	-0.9375
	-2.5	|	-1.75
	-2.25	|	-2.4375
	-2	|	-3
	-1.75	|	-3.4375
	-1.5	|	-3.75
	-1.25	|	-3.9375
	-1	|	-4
	-0.75	|	-3.9375
	-0.5	|	-3.75
	-0.25	|	-3.4375
	0	|	-3
	0.25	|	-2.4375
	0.5	|	-1.75
	0.75	|	-0.9375
	1	|	0
	1.25	|	1.0625
	1.5	|	2.25
	1.75	|	3.5625
	2	|	5
	2.25	|	6.5625
	2.5	|	8.25

